1.1 Tools and Libraries:,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
HT_TK_23,Import User từ Excel,UserServiceImplTest,importUsersFromExcel_Fail_ThrowsWhenCodeDuplicatedInFile,Đảm bảo phát hiện code bị trùng ngay trong file import.,Excel có 2 dòng cùng code SV001.,Ném AppException; userRepository.save() không được gọi.,Kết quả giống với mong đợi,Pass,Negative Test cho duplicate code trong file.
HT_TK_24,Import User từ Excel,UserServiceImplTest,importUsersFromExcel_Fail_ThrowsWhenRoleInvalid,Đảm bảo import từ chối role không hợp lệ.,"Excel row có Role=""INVALID"".",Ném AppException; userRepository.save() không được gọi.,Kết quả giống với mong đợi,Pass,Negative Test cho validation enum role.
HT_TK_25,Import User từ Excel,UserServiceImplTest,importUsersFromExcel_Fail_ThrowsWhenRequiredFieldsMissing,Đảm bảo import từ chối dòng thiếu trường bắt buộc.,Excel row thiếu fullName/email/role.,Ném AppException; userRepository.save() không được gọi.,Kết quả giống với mong đợi,Pass,Negative Test cho validation required fields.
HT_TK_26,Import User từ Excel,UserServiceImplTest,importUsersFromExcel_Fail_ThrowsWhenEmailExistsInSystem,Đảm bảo hệ thống chặn tạo/cập nhật tài khoản khi email đã tồn tại.,"Mock DB đã có User {email=""student01@example.com""}; request sử dụng lại email này.",Ném AppException; userRepository.save() không được gọi.,Kết quả giống với mong đợi,Pass,Negative Test kiểm tra rule unique email.
HT_TK_27,Import User từ Excel,UserServiceImplTest,importUsersFromExcel_Fail_ThrowsWhenCodeExistsInSystem,Đảm bảo hệ thống chặn tạo tài khoản khi mã định danh đã tồn tại.,"Mock DB đã có User {code=""SV001""}; request sử dụng lại code này.",Ném AppException; userRepository.save() không được gọi.,Kết quả giống với mong đợi,Pass,Negative Test kiểm tra rule unique code.
HT_TK_28,Xem chi tiết User,UserServiceImplTest,getUserById_Success,Đảm bảo xem chi tiết user theo ID thành công.,"Mock DB có User id=1, username=""student01"".",Trả UserResponse khác null; id và username khớp dữ liệu mock.,Kết quả giống với mong đợi,Pass,Positive Test cho xem chi tiết tài khoản.
HT_TK_29,Xem chi tiết User,UserServiceImplTest,getUserById_Fail_ThrowsWhenUserMissing,Đảm bảo xử lý lỗi khi User cần cập nhật/trạng thái/tra cứu không tồn tại.,userRepository.findById(99L) trả Optional.empty().,Ném AppException; repository.save() không được gọi khi là thao tác ghi.,Kết quả giống với mong đợi,Pass,Negative Test cho entity not found.
HT_TK_30,Tìm kiếm User để mời,UserServiceImplTest,searchUsersForInvite_Success,Đảm bảo tìm kiếm user để mời vào lớp loại trừ current user và đúng vai trò.,"Current user id=99 role=TEACHER; request search=""student"", role=STUDENT, classroomId=10.","Trả ResponseListData khác null; gọi findUsersForInvite(search, role, classroomId, currentUserId).",Kết quả giống với mong đợi,Pass,Positive Test cho chức năng mời thành viên.
HT_MH_01,Tạo môn học,SubjectServiceImplTest,createSubject_Success,Đảm bảo tạo môn học mới thành công với mã và tên hợp lệ.,"SubjectCreateRequest: {subjectCode=""JAVA101"", subjectName=""Java Programming""}.",Subject được lưu vào mock DB; subjectCode và subjectName khớp request; repository.save() được gọi.,Kết quả giống với mong đợi,Pass,Positive Test cho quản lý môn học.
HT_MH_02,Tạo môn học,SubjectServiceImplTest,createSubject_Fail_ThrowsWhenSubjectCodeExists,Đảm bảo hệ thống chặn tạo/cập nhật môn học khi mã môn học đã tồn tại.,"Mock DB đã có Subject {subjectCode=""JAVA101""}; request dùng lại mã này.",Ném AppException; subjectRepository.save() không được gọi.,Kết quả giống với mong đợi,Pass,Negative Test kiểm tra unique subjectCode.
HT_MH_03,Tạo môn học,SubjectServiceImplTest,createSubject_Fail_ThrowsWhenSubjectNameTooLong,Đảm bảo validate độ dài tên môn học.,"Request có subjectName = ""A"".repeat(101).",Ném AppException; subjectRepository.save() không được gọi.,Không ném lỗi; subjectRepository.save() vẫn được gọi,False,Negative Test cho validation độ dài subjectName.
HT_MH_04,Tìm kiếm môn học,SubjectServiceImplTest,searchSubject_Success,Đảm bảo tìm kiếm môn học theo filter thành công.,"SubjectSearchRequestDTO: {subjectName=""java""}; repository trả PageImpl có Subject JAVA101.",Trả ResponseListData khác null; gọi subjectRepository.searchSubject().,Kết quả giống với mong đợi,Pass,Positive Test cho search môn học.
HT_MH_05,Cập nhật môn học,SubjectServiceImplTest,updateSubject_Success_UpdatesCodeAndName,Đảm bảo cập nhật cả mã và tên môn học thành công.,"Mock DB có Subject id=10 {code=""OLD101"", name=""Old Subject""}; UpdateSubjectRequest {code=""JAVA101"", name=""Java Programming""}.",Subject trong mock DB được cập nhật code/name; repository.save(existing) được gọi.,Kết quả giống với mong đợi,Pass,Positive Test cho cập nhật môn học.
HT_MH_06,Cập nhật môn học,SubjectServiceImplTest,updateSubject_Success_OnlyUpdatesNameWhenCodeSame,Đảm bảo cập nhật tên môn học khi mã môn học giữ nguyên.,"Mock DB có Subject id=10 {code=""JAVA101""}; request {code=""JAVA101"", name=""New Subject Name""}.",Mã môn giữ nguyên; tên môn được cập nhật; không báo trùng mã.,Kết quả giống với mong đợi,Pass,Positive Test cho cập nhật một phần.
HT_MH_07,Cập nhật môn học,SubjectServiceImplTest,updateSubject_Success_DoesNotChangeNullFields,Đảm bảo update request null không làm mất dữ liệu cũ.,"Mock DB có Subject id=10; UpdateSubjectRequest {subjectCode=null, subjectName=null}.",Subject giữ nguyên subjectCode và subjectName cũ; repository.save(existing) được gọi.,Kết quả giống với mong đợi,Pass,Positive Test cho null-field update.
HT_MH_08,Cập nhật môn học,SubjectServiceImplTest,updateSubject_Fail_ThrowsWhenSubjectMissing,Đảm bảo báo lỗi khi cập nhật/xóa môn học không tồn tại.,subjectRepository.findById(99L) trả Optional.empty().,Ném AppException; subjectRepository.save() không được gọi.,Kết quả giống với mong đợi,Pass,Negative Test cho not found.
HT_MH_09,Cập nhật môn học,SubjectServiceImplTest,updateSubject_Fail_ThrowsWhenNewCodeExists,Đảm bảo hệ thống chặn tạo/cập nhật môn học khi mã môn học đã tồn tại.,"Mock DB đã có Subject {subjectCode=""JAVA101""}; request dùng lại mã này.",Ném AppException; subjectRepository.save() không được gọi.,Kết quả giống với mong đợi,Pass,Negative Test kiểm tra unique subjectCode.
HT_MH_10,Cập nhật môn học,SubjectServiceImplTest,updateSubject_Fail_ThrowsWhenSubjectNameTooLong,Đảm bảo validate độ dài tên môn học.,"Request có subjectName = ""A"".repeat(101).",Ném AppException; subjectRepository.save() không được gọi.,Không ném lỗi; subjectRepository.save() vẫn được gọi,False,Negative Test cho validation độ dài subjectName.
HT_MH_11,Xóa môn học,SubjectServiceImplTest,deleteSubject_Success_SoftDeletesSubject,Đảm bảo xóa mềm môn học thành công.,Mock DB có Subject id=10 {isDeleted=false}.,Subject được save với isDeleted=true; repository.save(existing) được gọi.,Kết quả giống với mong đợi,Pass,Positive Test cho soft delete môn học.
HT_MH_12,Xóa môn học,SubjectServiceImplTest,deleteSubject_Fail_ThrowsWhenSubjectMissing,Đảm bảo báo lỗi khi cập nhật/xóa môn học không tồn tại.,subjectRepository.findById(99L) trả Optional.empty().,Ném AppException; subjectRepository.save() không được gọi.,Kết quả giống với mong đợi,Pass,Negative Test cho not found.
HT_DY_01,Xem chi tiết yêu cầu duyệt,ApprovalRequestServiceImplTest,getApprovalRequestDetail_Success_ClassCreate,Đảm bảo Admin xem chi tiết yêu cầu tạo lớp thành công.,"Current user ADMIN; ApprovalRequest type=CLASS_CREATE, status=PENDING; item classroomId=20.",Trả detail khác null; requestItems có classroom detail.,Kết quả giống với mong đợi,Pass,Positive Test cho duyệt yêu cầu tạo lớp.
HT_DY_02,Xem chi tiết yêu cầu duyệt,ApprovalRequestServiceImplTest,getApprovalRequestDetail_Success_TopicCreate,Đảm bảo Admin xem chi tiết yêu cầu tạo chủ đề thành công.,Current user ADMIN; ApprovalRequest type=TOPIC_CREATE; mock có topic cũ active và topic mới inactive.,Trả detail khác null; requestItems có dữ liệu; currentTopics có danh sách chủ đề hiện tại.,Kết quả giống với mong đợi,Pass,Positive Test cho duyệt yêu cầu chủ đề.
HT_DY_03,Xem chi tiết yêu cầu duyệt,ApprovalRequestServiceImplTest,getApprovalRequestDetail_Success_QuestionReviewCreate,Đảm bảo Admin xem chi tiết yêu cầu duyệt câu hỏi ôn tập thành công.,Current user ADMIN; request type=QUESTION_REVIEW_CREATE; question có answers gồm active/deleted.,Trả detail khác null; chỉ answer chưa deleted được đưa vào response.,Kết quả giống với mong đợi,Pass,Positive Test cho duyệt câu hỏi ôn tập.
HT_DY_04,Xem chi tiết yêu cầu duyệt,ApprovalRequestServiceImplTest,getApprovalRequestDetail_Fail_ThrowsWhenRequestMissing,Đảm bảo báo lỗi khi yêu cầu duyệt không tồn tại.,"approvalRequestRepository.findByIdWithDetails(99L, ...) trả Optional.empty().",Ném AppException.,Kết quả giống với mong đợi,Pass,Negative Test cho approval request not found.
HT_DY_05,Xem chi tiết yêu cầu duyệt,ApprovalRequestServiceImplTest,getApprovalRequestDetail_Fail_TeacherCannotAccessOtherTeacherRequest,Đảm bảo giảng viên không xem được yêu cầu của giảng viên khác.,Current user TEACHER id=4; request requesterId=999.,Ném AppException do không có quyền truy cập request.,Kết quả giống với mong đợi,Pass,Negative Test cho phân quyền xem request.
HT_DY_06,Tìm kiếm yêu cầu duyệt,ApprovalRequestServiceImplTest,searchApprovalRequest_Success_AdminSearchesAll,Đảm bảo Admin tìm kiếm tất cả yêu cầu duyệt.,Current user ADMIN; repository trả PageImpl có ApprovalRequest PENDING.,Trả ResponseListData khác null; gọi searchApprovalRequest().,Kết quả giống với mong đợi,Pass,Positive Test cho search request của Admin.
HT_DY_07,Tìm kiếm yêu cầu duyệt,ApprovalRequestServiceImplTest,searchApprovalRequest_Success_TeacherSearchesOwnRequests,Đảm bảo Giảng viên tìm kiếm yêu cầu do mình tạo.,Current user TEACHER; repository trả PageImpl có request requesterId=teacherId.,Trả ResponseListData khác null; gọi searchApprovalRequest().,Kết quả giống với mong đợi,Pass,Positive Test cho search request của Teacher.
HT_DY_08,Duyệt yêu cầu,ApprovalRequestServiceImplTest,approveRequest_Success_ApprovesClassCreateRequest,Đảm bảo Admin duyệt yêu cầu tạo lớp thành công.,Current user ADMIN; request CLASS_CREATE PENDING; classroom id=20 đang isActive=false.,"Request chuyển APPROVED, reviewerId=ADMIN_ID; classroom isActive=true; save request và classroom.",Kết quả giống với mong đợi,Pass,Positive Test cho approve CLASS_CREATE.
HT_DY_09,Duyệt yêu cầu,ApprovalRequestServiceImplTest,approveRequest_Success_ApprovesTopicCreateRequest,Đảm bảo Admin duyệt yêu cầu tạo chủ đề thành công.,"Current user ADMIN; request TOPIC_CREATE PENDING; topic mới inactive, topic cũ active.",Request APPROVED; topic mới active; prerequisite được set; topic cũ inactive; topicRepository.saveAll() được gọi.,Kết quả giống với mong đợi,Pass,Positive Test cho approve TOPIC_CREATE.
HT_DY_10,Duyệt yêu cầu,ApprovalRequestServiceImplTest,approveRequest_Success_ApprovesQuestionReviewCreateRequest,Đảm bảo Admin duyệt câu hỏi vào ngân hàng ôn tập thành công.,Current user ADMIN; request QUESTION_REVIEW_CREATE PENDING; question active topic; answers có cả active/deleted.,Request APPROVED; tạo question review mới; originalQuestion isAddedToReview=true; lưu answer tương ứng.,Kết quả giống với mong đợi,Pass,Positive Test cho approve QUESTION_REVIEW_CREATE.
HT_DY_11,Duyệt yêu cầu,ApprovalRequestServiceImplTest,approveRequest_Fail_ThrowsWhenCurrentUserIsNotAdmin,Đảm bảo chỉ Admin mới được duyệt yêu cầu.,Current user TEACHER; gọi approveRequest().,Ném AppException; approvalRequestRepository.save() không được gọi.,Kết quả giống với mong đợi,Pass,Negative Test cho phân quyền approve.
HT_DY_12,Duyệt yêu cầu,ApprovalRequestServiceImplTest,approveRequest_Fail_ThrowsWhenRequestMissing,Đảm bảo báo lỗi khi duyệt request không tồn tại.,Current user ADMIN; approvalRequestRepository không có request id=99.,Ném AppException.,Kết quả giống với mong đợi,Pass,Negative Test cho request not found.
HT_DY_13,Duyệt yêu cầu,ApprovalRequestServiceImplTest,approveRequest_Fail_ThrowsWhenRequestIsNotPending,Đảm bảo không cho duyệt request đã xử lý.,Current user ADMIN; request status=APPROVED.,Ném AppException.,Kết quả giống với mong đợi,Pass,Negative Test cho trạng thái request không hợp lệ.
HT_DY_14,Duyệt yêu cầu,ApprovalRequestServiceImplTest,approveRequest_Fail_ThrowsWhenTopicRequestHasNoTopics,Đảm bảo duyệt yêu cầu tạo chủ đề thất bại khi không tìm thấy topic hợp lệ.,Request TOPIC_CREATE PENDING nhưng item entityId=999 không có trong topicStore.,Ném AppException.,Kết quả giống với mong đợi,Pass,Negative Test cho thiếu dữ liệu topic.
HT_DY_15,Duyệt yêu cầu,ApprovalRequestServiceImplTest,approveRequest_Fail_ThrowsWhenQuestionIsDeleted,Đảm bảo không duyệt câu hỏi đã bị xóa.,Request QUESTION_REVIEW_CREATE; question.isDeleted=true.,Ném AppException.,Kết quả giống với mong đợi,Pass,Negative Test cho câu hỏi không hợp lệ.
HT_DY_16,Duyệt yêu cầu,ApprovalRequestServiceImplTest,approveRequest_Fail_ThrowsWhenQuestionTopicInactive,Đảm bảo không duyệt câu hỏi khi topic của câu hỏi không active.,Topic của question isActive=false; request QUESTION_REVIEW_CREATE.,Ném AppException.,Kết quả giống với mong đợi,Pass,Negative Test cho topic inactive.
HT_DY_17,Duyệt yêu cầu,ApprovalRequestServiceImplTest,approveRequest_Fail_ThrowsWhenClassCreateItemMissing,Đảm bảo duyệt tạo lớp thất bại khi request không có item classroom.,Request CLASS_CREATE PENDING nhưng itemStore rỗng.,Ném AppException.,Kết quả giống với mong đợi,Pass,Negative Test cho request item thiếu.
HT_DY_18,Từ chối yêu cầu,ApprovalRequestServiceImplTest,rejectRequest_Success_RejectsPendingRequest,Đảm bảo Admin từ chối yêu cầu đang chờ duyệt thành công.,"Current user ADMIN; request CLASS_CREATE PENDING; rejectReason=""Invalid request"".",Request chuyển REJECTED; reviewerId=ADMIN_ID; rejectReason được lưu; repository.save(request) được gọi.,Kết quả giống với mong đợi,Pass,Positive Test cho reject request.
HT_DY_19,Từ chối yêu cầu,ApprovalRequestServiceImplTest,rejectRequest_Fail_ThrowsWhenCurrentUserIsNotAdmin,Đảm bảo chỉ Admin mới được từ chối yêu cầu.,Current user TEACHER; gọi rejectRequest().,Ném AppException; approvalRequestRepository.save() không được gọi.,Kết quả giống với mong đợi,Pass,Negative Test cho phân quyền reject.
HT_DY_20,Từ chối yêu cầu,ApprovalRequestServiceImplTest,rejectRequest_Fail_ThrowsWhenRequestMissing,Đảm bảo từ chối request không tồn tại sẽ báo lỗi.,Current user ADMIN; request id=99 không có trong repository.,Ném AppException.,Kết quả giống với mong đợi,Pass,Negative Test cho request not found.
HT_DY_21,Từ chối yêu cầu,ApprovalRequestServiceImplTest,rejectRequest_Fail_ThrowsWhenRequestIsNotPending,Đảm bảo không từ chối request đã được xử lý.,Current user ADMIN; request status=APPROVED.,Ném AppException.,Kết quả giống với mong đợi,Pass,Negative Test cho trạng thái request không hợp lệ.
HT_DY_22,Từ chối yêu cầu,ApprovalRequestServiceImplTest,rejectRequest_Fail_ThrowsWhenRejectReasonIsBlank,Đảm bảo validate lý do từ chối không được để trống.,"rejectReason="" "".",Ném AppException.,Kết quả giống với mong đợi,Pass,Negative Test cho blank reject reason.
HT_DY_23,Từ chối yêu cầu,ApprovalRequestServiceImplTest,rejectRequest_Fail_ThrowsWhenRejectReasonIsNull,Đảm bảo validate lý do từ chối không được null.,rejectReason=null.,Ném AppException.,Kết quả giống với mong đợi,Pass,Negative Test cho null reject reason.
HT_CD_01,Đề xuất tạo chủ đề,TopicServiceImplTest,approvalRequestTopic_Success_CreatesInactiveTopicsAndApprovalRequest,"Đảm bảo Giảng viên tạo yêu cầu duyệt chủ đề thành công, các topic mới được lưu ở trạng thái chưa active và tạo approval request.","Current user TEACHER; subjectId=10 tồn tại; pendingTopicIds rỗng; topicRequests gồm Java Basic, Java OOP.","Tạo 2 Topic trong mock DB với isActive=false, isDeleted=false, subjectId=10, createdBy=teacherId; gọi approvalRequestService.createRequest(TOPIC_CREATE, description, teacherId, topicIds).",Kết quả giống với mong đợi,Pass,Positive Test cho luồng đề xuất chủ đề.
HT_CD_02,Đề xuất tạo chủ đề,TopicServiceImplTest,approvalRequestTopic_Fail_ThrowsWhenCurrentUserIsNotTeacher,Đảm bảo chỉ Giảng viên mới được tạo đề xuất chủ đề.,Current user STUDENT; CreateApprovalTopicRequest hợp lệ.,Ném AppException; topicRepository.saveAllAndFlush() không được gọi; approvalRequestService.createRequest() không được gọi.,Kết quả giống với mong đợi,Pass,Negative Test cho phân quyền tạo đề xuất topic.
HT_CD_03,Đề xuất tạo chủ đề,TopicServiceImplTest,approvalRequestTopic_Fail_ThrowsWhenSubjectMissing,Đảm bảo không cho tạo đề xuất chủ đề nếu môn học không tồn tại.,Current user TEACHER; subjectRepository.existsBySubjectIdAndIsDeletedIsFalse(10)=false.,Ném AppException; không lưu topic; không tạo approval request.,Kết quả giống với mong đợi,Pass,Negative Test cho subject not found.
HT_CD_04,Đề xuất tạo chủ đề,TopicServiceImplTest,approvalRequestTopic_Fail_ThrowsWhenTopicRequestsNull,Đảm bảo validate danh sách topic request không được null.,Current user TEACHER; subject tồn tại; topicRequests=null.,Ném AppException; topicRepository.saveAllAndFlush() không được gọi; approvalRequestService.createRequest() không được gọi.,Kết quả giống với mong đợi,Pass,Negative Test cho input null.
HT_CD_05,Đề xuất tạo chủ đề,TopicServiceImplTest,approvalRequestTopic_Fail_ThrowsWhenTopicRequestsEmpty,Đảm bảo validate danh sách topic request không được rỗng.,Current user TEACHER; subject tồn tại; topicRequests=List.of().,Ném AppException; không lưu topic; không tạo approval request.,Kết quả giống với mong đợi,Pass,Negative Test cho input rỗng.
HT_CD_06,Đề xuất tạo chủ đề,TopicServiceImplTest,approvalRequestTopic_Fail_ThrowsWhenPendingRequestExistsInSameSubject,Đảm bảo không cho tạo thêm yêu cầu chủ đề khi môn học đã có request PENDING.,"Mock pendingTopicIds=[20]; topicStore có Topic id=20 subjectId=10, isDeleted=false.",Ném AppException; không lưu topic mới; không tạo approval request mới.,Kết quả giống với mong đợi,Pass,Negative Test cho rule chỉ có một yêu cầu pending trên cùng môn học.
